endpoint,category,task,representation,split,model,method,n_explained,faith_mean,faith_lo,faith_hi,null_faith_mean,faith_vs_null,beats_null_p,beats_null,stab_mean,stab_lo,stab_hi,stab_worst,sanity_sim,sanity_passed,primary_perf,perf_metric
Caco2,absorption,regression,descriptors,scaffold,mlp,ig,60,2.788423457969394,2.5444793630282705,3.0332098010446256,0.6245071912669423,2.163916266702452,0.0,True,0.0979398677334252,0.0780337176542668,0.1145893886695262,0.1448568859500986,0.5586847657880644,False,0.5673196551861079,Spearman
Caco2,absorption,regression,descriptors,scaffold,mlp,lime,60,0.8193234990480253,0.7012380632502674,0.964100786192252,0.6245071912669423,0.1948163077810829,0.0,True,0.0834439576113065,0.0674154961105892,0.0969600988430421,0.116185505868719,0.0543378335846521,True,0.5673196551861079,Spearman
Caco2,absorption,regression,descriptors,scaffold,mlp,random,60,0.6245071912669423,0.5552842826089505,0.7067837468974013,0.6245071912669423,0.0,,False,1.4909066986430066,1.457670528953267,1.5281877747451755,1.6036942302290689,1.0,False,0.5673196551861079,Spearman
Caco2,absorption,regression,descriptors,random,rf,shap,60,0.7835244920779278,0.6180961478085844,0.9450853017404364,0.2072604406022938,0.5762640514756341,0.0,True,0.190412971970123,0.1388809271277718,0.2439272107489557,0.3355544663300854,0.6474080148805667,False,0.8418040494925264,Spearman
Caco2,absorption,regression,descriptors,random,rf,lime,60,0.64996533971679,0.49878337226628,0.813923594411059,0.2072604406022938,0.4427048991144962,0.0,True,0.0302527830279032,0.020347296371711,0.0448256687170002,0.0984819364158814,0.0481300430138843,True,0.8418040494925264,Spearman
Caco2,absorption,regression,descriptors,random,rf,random,60,0.207260440602294,0.123820171569713,0.3036289341064738,0.2072604406022938,1.9428902930940242e-16,,False,1.4923431784474406,1.4746804117781862,1.5153661643284178,1.5616567400133858,1.0,False,0.8418040494925264,Spearman
Caco2,absorption,regression,descriptors,random,hgb,shap,60,0.8078537916061279,0.657185192074543,0.9607994029246696,0.1824113842511686,0.6254424073549593,0.0,True,0.3125602317406162,0.2782841641368463,0.3466653323194944,0.4048819593318531,0.7109071563803671,False,0.8500591966449195,Spearman
Caco2,absorption,regression,descriptors,random,hgb,lime,60,0.5487054818704206,0.4336995437795616,0.7053824939541675,0.1824113842511686,0.3662940976192519,0.0,True,0.0388285008747962,0.0299496118389163,0.0479165589468983,0.0769996932972722,0.0520922488886383,True,0.8500591966449195,Spearman
Caco2,absorption,regression,descriptors,random,hgb,random,60,0.1824113842511686,0.1445095389207545,0.2254370249654918,0.1824113842511686,0.0,,False,1.4843795621640552,1.457204291257889,1.50959794821507,1.5544827299574882,1.0,False,0.8500591966449195,Spearman
Caco2,absorption,regression,descriptors,random,mlp,ig,60,2.9776083643030797,2.741203202656988,3.2122608142366835,0.6600493294251565,2.317559034877923,0.0,True,0.0789534415888972,0.0649121076650762,0.0947726860917313,0.1430209507596561,0.5494461604108924,False,0.6410071002740412,Spearman
Caco2,absorption,regression,descriptors,random,mlp,lime,60,0.7392774903103145,0.6332650901460842,0.842379351680348,0.6600493294251565,0.079228160885158,0.065,False,0.0117868696373692,0.0093591885724382,0.014398690944443,0.0202937581021278,0.0478363288033308,True,0.6410071002740412,Spearman
Caco2,absorption,regression,descriptors,random,mlp,random,60,0.6600493294251565,0.5878728587488878,0.7484049575248112,0.6600493294251565,0.0,,False,1.4760284659542984,1.4472929954389266,1.5081977337432229,1.597194092738605,1.0,False,0.6410071002740412,Spearman
HIA,absorption,classification,descriptors,scaffold,rf,shap,60,0.0822198771494347,0.0256920495980521,0.1519069123350235,0.0103224130819223,0.0718974640675123,0.005,True,0.3077910572190538,0.1721822007312737,0.4853934259942527,1.1570825626547088,0.6174536769698925,False,0.9834229390681004,AUROC
