endpoint,model,primary,faith,null,faithful,consensus,stability
hERG,mlp,ig,0.008405168851216635,3.9736429850260414e-08,1,0.22455614155907136,0.061551467650805394
hERG,mlp,ig,0.14595282077789307,-0.000655968983968099,1,0.36114672213865656,0.05872515832892538
hERG,mlp,ig,0.003723899523417155,1.0887781778971354e-05,1,0.16863643712519846,0.1333331039981927
hERG,mlp,ig,0.008824606736501059,6.755193074544271e-07,1,0.23864734803204318,0.13991189763146958
hERG,mlp,ig,0.02529911200205485,0.03203282753626505,0,0.1892494363589981,0.07369776805388048
hERG,mlp,ig,0.005566636721293132,5.0067901611328125e-05,1,0.2206970228109338,0.09714828393549364
hERG,mlp,ig,0.5258754293123881,0.00016947587331136069,1,0.30720259340803785,0.10160874719860788
hERG,mlp,ig,0.1288438638051351,0.01800284783045451,1,0.33985199488839035,0.1298302029189867
hERG,mlp,ig,0.0025820136070251465,1.5894571940104166e-07,1,0.1901537728304257,0.08203235200893003
hERG,mlp,ig,0.23389087120691934,1.0728836059570312e-06,1,0.24479801050070069,0.09725700800999108
hERG,mlp,ig,0.0011748870213826497,0.0,1,0.13620834061534473,0.08377864433692273
hERG,mlp,ig,0.4251680572827657,0.0016170144081115723,1,0.22739276585237206,0.10853659252351903
AMES,rf,shap,0.1834871147550314,0.032763167884561795,1,0.33940338437443257,0.6999411340692958
AMES,rf,shap,0.5494347124250001,0.2629990134346047,1,0.32456374200063254,0.4805300109149776
AMES,rf,shap,0.495895416997429,0.11658120087175172,1,0.27975708835330804,0.5203875499707169
AMES,rf,shap,0.34597794958417327,0.04814319993538659,1,0.32550208279334114,0.30880877986501404
AMES,rf,shap,0.46493697339315254,0.11010036843029976,1,0.25650878505861463,0.448554897187112
AMES,rf,shap,0.03629072248782287,0.05559304648461424,0,0.14557318060199084,0.4869147511424804
AMES,rf,shap,0.04704357526708567,0.006960059308571687,1,0.2261283871029457,0.34938047289551194
