mol_idx,bit,IG_auc,IG_faith,grad_auc,grad_faith,grad*input_auc,grad*input_faith,smoothgrad_auc,smoothgrad_faith,occlusion_auc,occlusion_faith,random_auc,random_faith
2,725,0.25,-0.11206815640131633,0.625,0.2955526163180669,0.25,-0.11206815640131633,0.375,-0.0357098380724589,0.625,0.30517130717635155,0.75,0.13040505846341452
2,979,0.0,0.18186668998290165,0.125,0.22941864834865555,0.0,0.2294229639422459,0.125,0.22934006064315327,0.125,0.23065499490864264,0.125,0.11197507133086522
2,815,0.25,0.17162447096779943,0.75,0.21029256406472996,0.25,0.2110275173181435,0.5,0.21122342549885312,0.625,0.21121473174328761,0.25,0.20649380138881193
2,139,0.625,0.1177736858856709,0.0,0.11347984358144458,0.25,0.11699068016605452,0.375,0.11347984358144458,0.625,0.1177736858856709,0.25,-0.11744228005409241
2,214,0.625,0.08257670432067243,0.375,0.08185798246025418,0.375,0.0819931638276709,0.375,0.08185798246025418,0.625,0.00845571092213504,0.125,0.053242162646104894
2,698,0.625,0.07635387575343582,0.375,0.076011421409324,0.625,0.07601226279136124,0.5,0.076011421409324,0.375,-0.08629735031475623,0.75,0.07602025829298024
3,80,0.875,0.0634530782699585,0.9375,0.15148035685221353,0.8125,0.08483896652857463,0.875,0.11435093482335408,0.6875,0.10314359267552693,0.625,-0.023069640000661213
3,33,0.5714285714285714,0.3232519328594208,0.1428571428571429,0.026789685090382893,0.5714285714285714,0.29071781039237976,0.1428571428571429,0.026789685090382893,0.9047619047619049,0.3294288714726766,0.38095238095238093,0.25960444410641986
3,807,0.33333333333333337,0.405490775903066,0.4444444444444444,0.49797341227531433,0.4444444444444444,0.48717523614565533,0.4444444444444444,0.49797341227531433,0.2222222222222222,0.48882149408260983,0.7777777777777778,0.07399642467498779
3,294,0.6666666666666667,0.5238822853813568,0.7777777777777778,0.3823539867686729,1.0,0.4511771417843799,0.8888888888888888,0.3511291262693703,0.8888888888888888,0.5256827166303992,0.6666666666666667,-0.0022783875465393066
3,695,0.4444444444444444,0.5266457037845006,0.33333333333333337,0.5231364701564113,0.11111111111111116,0.5219318034748236,0.11111111111111116,0.5231364701564113,0.888888888888889,0.517354577469329,0.4444444444444444,0.4031821369814376
