endpoint,category,representation,split,model,method_a,method_b,kendall_mean,kendall_std,spearman_mean,spearman_std,jaccard_mean,jaccard_std,top_k
hERG,toxicity,descriptors,scaffold,mlp,lime,random,-0.005932468566877168,0.039908306754246524,-0.008625129378310793,0.05896928298996565,0.022434353858502464,0.03547222114997574,10
hERG,toxicity,descriptors,random,rf,shap,lime,0.13829346898658054,0.039349728194611945,0.2052271572293177,0.056846440879215664,0.15202937900306318,0.09200261593966394,10
hERG,toxicity,descriptors,random,rf,shap,random,-0.005654449302777216,0.04372783103199794,-0.008402205298582922,0.06497402300857963,0.022222222222222216,0.03163304873987958,10
hERG,toxicity,descriptors,random,rf,lime,random,0.0023453945496956243,0.04825724744106333,0.003734139902384946,0.07233004935455568,0.016099071207430336,0.030860522091336502,10
hERG,toxicity,descriptors,random,hgb,shap,lime,0.09488130426830166,0.0463180263849536,0.13514993943022,0.06513265038558201,0.09727238848755877,0.06184435355370537,10
hERG,toxicity,descriptors,random,hgb,shap,random,0.0033671555061129134,0.048138260170380746,0.004340924104900606,0.06824490197335244,0.022336887971562892,0.03390010219234076,10
hERG,toxicity,descriptors,random,hgb,lime,random,-0.003702281390453432,0.05373768199604772,-0.005582703470392134,0.080181885534189,0.02896456828345373,0.041225110142920546,10
hERG,toxicity,descriptors,random,mlp,ig,lime,0.07411415499455766,0.04671471450753095,0.11063417498855227,0.06850181665944721,0.07773477812177502,0.07115212678278605,10
hERG,toxicity,descriptors,random,mlp,ig,random,0.0005197545789961677,0.045584993571986275,0.0004303427992280462,0.06891771750202913,0.029841761265909872,0.041159364164178286,10
hERG,toxicity,descriptors,random,mlp,lime,random,0.0008391648176594419,0.04312546045935241,0.0020838128747273465,0.06359048297717862,0.021654626762985896,0.03687699835757839,10
AMES,toxicity,descriptors,scaffold,rf,shap,lime,0.09285562073905239,0.05592941055764687,0.13729753937294664,0.08125828952238487,0.15646714826281388,0.07592448858585481,10
AMES,toxicity,descriptors,scaffold,rf,shap,random,0.00047657662587646165,0.046110129640750314,0.0004075734319268217,0.06839703438522061,0.026138057562206166,0.0385992653684101,10
AMES,toxicity,descriptors,scaffold,rf,lime,random,0.0002375263127951299,0.042110563920703115,0.00013716841180587552,0.06229675859376665,0.026917784657722734,0.03716553574857813,10
AMES,toxicity,descriptors,scaffold,hgb,shap,lime,0.07156927823045424,0.047320038565369864,0.1054220084229586,0.06839228794370089,0.1168888315560142,0.0545761881072994,10
AMES,toxicity,descriptors,scaffold,hgb,shap,random,-0.006817503195847891,0.04570624707819444,-0.009566148532554341,0.06791348797246081,0.027680311890838204,0.03510179488089799,10
AMES,toxicity,descriptors,scaffold,hgb,lime,random,-0.00011662968652215965,0.04412838192251741,-0.0006944150847672611,0.06654424152939468,0.021442495126705655,0.03319568492383313,10
AMES,toxicity,descriptors,scaffold,mlp,ig,lime,0.05251861493375961,0.0492286874096919,0.07804733231533852,0.07365529431592518,0.05433293200321065,0.054267176559321,10
AMES,toxicity,descriptors,scaffold,mlp,ig,random,0.0011634770614184632,0.04057970199035613,0.0017237365132614045,0.0608741290355259,0.027582846003898636,0.03352755677206344,10
AMES,toxicity,descriptors,scaffold,mlp,lime,random,-0.001817716333845367,0.046695725338906785,-0.0024336627880575793,0.06988237874572187,0.027015250544662302,0.03859333659873796,10
AMES,toxicity,descriptors,random,rf,shap,lime,0.11997069682623258,0.0768415519655652,0.17736204883514253,0.10671633861022484,0.14328202041050336,0.08301294212603771,10
AMES,toxicity,descriptors,random,rf,shap,random,-0.003906505715393327,0.041017612216425164,-0.006196024363301469,0.06007959658159551,0.026705653021442493,0.033549225054668924,10
AMES,toxicity,descriptors,random,rf,lime,random,0.00343773112590317,0.03822340757713077,0.0049122263090892885,0.05678988850641047,0.028867102396514157,0.039896379634196864,10
AMES,toxicity,descriptors,random,hgb,shap,lime,0.08297010118658442,0.04339939024708781,0.12214612447032244,0.06247073507872649,0.10771127164316016,0.0738438981570302,10
AMES,toxicity,descriptors,random,hgb,shap,random,0.0038701523509596047,0.04690638040119927,0.006042324277512801,0.06861257328237041,0.022336887971562892,0.03390010219234076,10
AMES,toxicity,descriptors,random,hgb,lime,random,-0.005676452181828527,0.041545576218719654,-0.008533037857542149,0.062048060382414685,0.025163398692810455,0.037152542862751686,10
AMES,toxicity,descriptors,random,mlp,ig,lime,0.05800174949582339,0.051619605109973356,0.08570223426230683,0.07684938878028465,0.07087776631120282,0.06041059234897446,10
AMES,toxicity,descriptors,random,mlp,ig,random,-0.004517363260470711,0.044932679397045754,-0.006774541981561822,0.06759944027499558,0.0195906432748538,0.031179792719423203,10
AMES,toxicity,descriptors,random,mlp,lime,random,0.004996586448199351,0.05184131598389739,0.00735338560138797,0.07690741994348588,0.026705653021442493,0.033549225054668924,10
LD50,toxicity,descriptors,scaffold,rf,shap,lime,0.05070917561004921,0.07321722292900125,0.0748846842987431,0.1048092422671619,0.1468243730240634,0.07762508949705522,10
LD50,toxicity,descriptors,scaffold,rf,shap,random,0.0035039051627872436,0.04698187364751225,0.004943024275983246,0.07001819673174584,0.015984405458089667,0.028326209414803454,10
LD50,toxicity,descriptors,scaffold,rf,lime,random,0.013344142914035387,0.04089619896338982,0.01987194091736856,0.06074114667514796,0.01783625730994152,0.03074905851739029,10
LD50,toxicity,descriptors,scaffold,hgb,shap,lime,0.06169332705834141,0.08475501340171739,0.089596731666333,0.12053029609611958,0.07214768948515077,0.053612603534039856,10
